Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Cash,Payment,2024-10-09 19:39:34,2024-10-09 22:39:34,Bus Ticket,+4831.00,0.00,INR,completed,8774
Card,Booking,2024-09-03 16:34:20,2024-09-03 23:34:20,Bus Ticket,-3430.00,0.00,INR,completed,5344
Card,Payment,2024-11-28 09:06:20,2024-11-28 10:06:20,Hotel Reservation,-2909.00,0.00,INR,completed,2435
Card,Booking,2024-11-08 07:40:48,2024-11-08 14:40:48,Flight Ticket,-3536.00,0.00,INR,pending,5971
Cash,Booking,2024-09-02 13:18:38,2024-09-02 14:18:38,Hotel Reservation,+2066.00,0.00,INR,pending,369
Cash,Booking,2024-11-05 17:49:43,2024-11-06 04:49:43,Train Ticket,+1509.00,0.00,INR,completed,3944
Card,Payment,2024-09-28 23:00:57,2024-09-29 05:00:57,Train Ticket,-4961.00,0.00,INR,pending,8905
Cash,Payment,2024-09-09 05:22:47,2024-09-09 16:22:47,Hotel Reservation,+3516.00,0.00,INR,pending,428
Cash,Booking,2024-11-11 09:11:45,2024-11-11 17:11:45,Car Rental,+2226.00,0.00,INR,pending,1718
Card,Payment,2024-09-24 20:47:06,2024-09-25 00:47:06,Train Ticket,-2738.00,0.00,INR,pending,6682
Cash,Payment,2024-10-12 19:07:49,2024-10-12 23:07:49,Hotel Reservation,+3675.00,0.00,INR,completed,7619
Cash,Payment,2024-09-08 16:27:29,2024-09-08 19:27:29,Car Rental,+4998.00,0.00,INR,pending,2621
Cash,Booking,2024-11-17 08:30:41,2024-11-17 13:30:41,Flight Ticket,+1627.00,0.00,INR,completed,9246
Card,Payment,2024-10-24 23:40:48,2024-10-25 05:40:48,Bus Ticket,-2666.00,0.00,INR,pending,11912
Cash,Payment,2024-11-04 00:32:30,2024-11-04 12:32:30,Bus Ticket,+7117.00,0.00,INR,completed,16363
Card,Payment,2024-10-07 08:08:07,2024-10-07 19:08:07,Hotel Reservation,-4618.00,0.00,INR,completed,11745
Card,Booking,2024-10-19 19:09:26,2024-10-20 02:09:26,Flight Ticket,-5764.00,0.00,INR,pending,17509
Cash,Payment,2024-11-12 09:35:04,2024-11-12 12:35:04,Train Ticket,+1303.00,0.00,INR,completed,13048
Cash,Payment,2024-09-29 09:36:48,2024-09-29 11:36:48,Bus Ticket,+2758.00,0.00,INR,completed,15806
Cash,Refund,2024-09-15 22:19:06,2024-09-16 02:19:06,Train Ticket,+1784.00,0.00,INR,completed,17590
Card,Booking,2024-09-14 01:57:22,2024-09-14 09:57:22,Car Rental,-7503.00,0.00,INR,pending,25093
Card,Refund,2024-11-18 05:13:43,2024-11-18 16:13:43,Tour Package,-7164.00,0.00,INR,pending,24754
Cash,Payment,2024-10-31 17:54:08,2024-11-01 05:54:08,Car Rental,+1096.00,0.00,INR,completed,18686
Cash,Payment,2024-09-19 16:15:20,2024-09-19 21:15:20,Train Ticket,+1225.00,0.00,INR,pending,17461
Cash,Payment,2024-10-03 13:19:33,2024-10-04 00:19:33,Train Ticket,+3223.00,0.00,INR,completed,21909
Card,Refund,2024-09-22 05:10:09,2024-09-22 08:10:09,Car Rental,-4970.00,0.00,INR,pending,26879
Card,Refund,2024-11-29 14:44:40,2024-11-29 19:44:40,Train Ticket,-5917.00,0.00,INR,pending,27826
Cash,Refund,2024-11-26 13:43:51,2024-11-26 20:43:51,Bus Ticket,+6190.00,0.00,INR,pending,15719
Card,Refund,2024-09-29 17:05:07,2024-09-30 05:05:07,Car Rental,-6752.00,0.00,INR,completed,15157
Cash,Payment,2024-10-13 06:04:22,2024-10-13 15:04:22,Car Rental,+5615.00,0.00,INR,completed,20772
Card,Refund,2024-10-21 04:13:52,2024-10-21 13:13:52,Bus Ticket,-6447.00,0.00,INR,pending,27219
Card,Refund,2024-10-19 06:47:17,2024-10-19 15:47:17,Bus Ticket,-3088.00,0.00,INR,pending,23860
Cash,Refund,2024-11-04 18:09:20,2024-11-05 02:09:20,Flight Ticket,+4265.00,0.00,INR,completed,25037
Cash,Refund,2024-10-28 22:59:53,2024-10-29 00:59:53,Bus Ticket,+4039.00,0.00,INR,completed,29076
Card,Refund,2024-11-02 02:04:00,2024-11-02 10:04:00,Tour Package,-3022.00,0.00,INR,completed,26054
Card,Refund,2024-11-03 03:56:44,2024-11-03 12:56:44,Tour Package,-7724.00,0.00,INR,pending,33778
Cash,Booking,2024-09-25 18:44:06,2024-09-26 06:44:06,Tour Package,+2548.00,0.00,INR,completed,28602
Cash,Booking,2024-11-12 07:16:31,2024-11-12 10:16:31,Hotel Reservation,+5864.00,0.00,INR,pending,22738
Card,Booking,2024-09-30 05:27:38,2024-09-30 11:27:38,Hotel Reservation,-6017.00,0.00,INR,pending,34619
Cash,Booking,2024-09-22 18:54:53,2024-09-22 21:54:53,Flight Ticket,+7042.00,0.00,INR,completed,35644
Cash,Refund,2024-10-27 05:39:14,2024-10-27 12:39:14,Train Ticket,+1223.00,0.00,INR,completed,36867
Cash,Booking,2024-11-19 01:31:56,2024-11-19 02:31:56,Car Rental,+6441.00,0.00,INR,completed,43308
Card,Payment,2024-10-01 08:16:12,2024-10-01 15:16:12,Car Rental,-3853.00,0.00,INR,pending,47161
Card,Booking,2024-09-01 18:45:24,2024-09-01 19:45:24,Tour Package,-7494.00,0.00,INR,completed,35814
Cash,Booking,2024-11-07 04:20:07,2024-11-07 12:20:07,Flight Ticket,+610.00,0.00,INR,completed,36424
Cash,Payment,2024-10-06 12:43:16,2024-10-06 16:43:16,Hotel Reservation,+6839.00,0.00,INR,completed,43263
Card,Booking,2024-10-30 22:43:29,2024-10-31 09:43:29,Train Ticket,-6742.00,0.00,INR,completed,36521
Cash,Booking,2024-09-15 14:56:27,2024-09-15 16:56:27,Tour Package,+6233.00,0.00,INR,completed,42754
Card,Payment,2024-10-24 04:09:29,2024-10-24 10:09:29,Flight Ticket,-951.00,0.00,INR,pending,43705
Cash,Payment,2024-09-17 21:32:18,2024-09-18 00:32:18,Flight Ticket,+4456.00,0.00,INR,pending,38298
Card,Refund,2024-10-12 09:15:40,2024-10-12 14:15:40,Train Ticket,-3864.00,0.00,INR,completed,38890
Card,Payment,2024-10-17 07:37:44,2024-10-17 09:37:44,Car Rental,-6828.00,0.00,INR,pending,45718
Card,Booking,2024-09-09 23:16:30,2024-09-10 11:16:30,Tour Package,-4373.00,0.00,INR,pending,43263
Cash,Booking,2024-10-03 17:15:37,2024-10-04 00:15:37,Car Rental,+5841.00,0.00,INR,pending,33049
Cash,Payment,2024-11-25 02:37:49,2024-11-25 09:37:49,Train Ticket,+7255.00,0.00,INR,completed,46145
Cash,Refund,2024-09-05 18:32:14,2024-09-05 22:32:14,Hotel Reservation,+5447.00,0.00,INR,pending,40698
Card,Refund,2024-11-11 20:57:58,2024-11-12 06:57:58,Tour Package,-3420.00,0.00,INR,pending,49565
Card,Booking,2024-11-18 06:03:38,2024-11-18 14:03:38,Train Ticket,-7279.00,0.00,INR,pending,53424
Cash,Refund,2024-10-16 17:53:15,2024-10-17 02:53:15,Bus Ticket,+7638.00,0.00,INR,completed,53783
Card,Refund,2024-11-09 07:02:50,2024-11-09 12:02:50,Bus Ticket,-5730.00,0.00,INR,pending,59513
Card,Booking,2024-10-25 15:12:16,2024-10-25 16:12:16,Car Rental,-5037.00,0.00,INR,completed,48746
Card,Refund,2024-10-07 14:13:05,2024-10-07 20:13:05,Tour Package,-6268.00,0.00,INR,pending,55014
Cash,Payment,2024-11-21 12:54:45,2024-11-21 18:54:45,Train Ticket,+2561.00,0.00,INR,pending,46185
Cash,Refund,2024-09-19 20:09:58,2024-09-20 06:09:58,Car Rental,+6602.00,0.00,INR,completed,55348
Card,Booking,2024-10-04 15:37:10,2024-10-04 16:37:10,Train Ticket,-3407.00,0.00,INR,pending,58755
Card,Refund,2024-11-28 11:11:48,2024-11-28 12:11:48,Car Rental,-5907.00,0.00,INR,pending,61255
Card,Payment,2024-10-16 16:29:40,2024-10-17 00:29:40,Car Rental,-6972.00,0.00,INR,pending,62320
Card,Booking,2024-09-21 19:55:52,2024-09-21 20:55:52,Bus Ticket,-4041.00,0.00,INR,pending,59389
Cash,Refund,2024-11-07 21:44:39,2024-11-08 05:44:39,Bus Ticket,+1772.00,0.00,INR,completed,57120
Card,Payment,2024-10-21 13:30:21,2024-10-21 21:30:21,Hotel Reservation,-1577.00,0.00,INR,completed,55543
Card,Booking,2024-10-11 19:13:47,2024-10-12 07:13:47,Flight Ticket,-5678.00,0.00,INR,pending,61221
Cash,Refund,2024-11-06 23:45:11,2024-11-07 11:45:11,Train Ticket,+836.00,0.00,INR,pending,54707
Cash,Refund,2024-11-14 19:49:39,2024-11-14 23:49:39,Car Rental,+7576.00,0.00,INR,completed,63119
Cash,Refund,2024-11-27 21:34:08,2024-11-28 06:34:08,Bus Ticket,+4211.00,0.00,INR,pending,58908
Card,Payment,2024-09-20 19:51:06,2024-09-21 07:51:06,Hotel Reservation,-3784.00,0.00,INR,pending,66903
Card,Booking,2024-10-08 14:43:09,2024-10-08 22:43:09,Car Rental,-7531.00,0.00,INR,pending,70650
Cash,Booking,2024-10-05 22:54:43,2024-10-06 07:54:43,Tour Package,+7381.00,0.00,INR,completed,70500
Card,Booking,2024-11-20 07:21:06,2024-11-20 15:21:06,Car Rental,-5928.00,0.00,INR,pending,76428
Cash,Booking,2024-09-21 15:55:45,2024-09-22 00:55:45,Car Rental,+1206.00,0.00,INR,completed,71706
Cash,Booking,2024-10-30 19:04:19,2024-10-31 00:04:19,Flight Ticket,+2609.00,0.00,INR,completed,74315
Cash,Payment,2024-10-23 07:52:51,2024-10-23 12:52:51,Bus Ticket,+5740.00,0.00,INR,pending,68575
Card,Booking,2024-10-16 20:56:41,2024-10-17 02:56:41,Tour Package,-7807.00,0.00,INR,pending,82122
Card,Refund,2024-11-04 05:20:59,2024-11-04 06:20:59,Flight Ticket,-6302.00,0.00,INR,pending,80617
Cash,Booking,2024-10-27 11:35:38,2024-10-27 20:35:38,Flight Ticket,+896.00,0.00,INR,completed,75211
Cash,Refund,2024-09-29 14:15:35,2024-09-29 15:15:35,Train Ticket,+1770.00,0.00,INR,completed,76981
Card,Refund,2024-11-20 20:01:57,2024-11-21 07:01:57,Train Ticket,-7563.00,0.00,INR,pending,84544
Card,Refund,2024-11-26 14:12:15,2024-11-26 20:12:15,Car Rental,-4537.00,0.00,INR,completed,72444
Cash,Payment,2024-11-25 00:30:16,2024-11-25 11:30:16,Car Rental,+7803.00,0.00,INR,pending,64641
Cash,Refund,2024-11-03 21:26:21,2024-11-04 01:26:21,Bus Ticket,+2387.00,0.00,INR,pending,70057
Card,Booking,2024-10-28 12:14:50,2024-10-28 20:14:50,Hotel Reservation,-5085.00,0.00,INR,completed,67359
Card,Refund,2024-10-20 20:14:33,2024-10-21 07:14:33,Tour Package,-7419.00,0.00,INR,pending,74778
Card,Payment,2024-11-11 08:43:28,2024-11-11 15:43:28,Car Rental,-6771.00,0.00,INR,completed,60588
Card,Payment,2024-09-14 14:53:11,2024-09-15 02:53:11,Hotel Reservation,-2365.00,0.00,INR,completed,58223
Cash,Booking,2024-09-19 03:40:56,2024-09-19 13:40:56,Car Rental,+7235.00,0.00,INR,pending,50988
Card,Payment,2024-09-04 09:43:13,2024-09-04 11:43:13,Flight Ticket,-7119.00,0.00,INR,completed,51104
Cash,Refund,2024-11-18 02:30:13,2024-11-18 09:30:13,Hotel Reservation,+1720.00,0.00,INR,pending,49384
Card,Booking,2024-09-06 22:47:33,2024-09-07 04:47:33,Bus Ticket,-7261.00,0.00,INR,pending,58365
Card,Refund,2024-09-11 06:41:38,2024-09-11 16:41:38,Car Rental,-7338.00,0.00,INR,completed,43766
Cash,Payment,2024-09-30 18:32:50,2024-10-01 01:32:50,Flight Ticket,+5124.00,0.00,INR,pending,38642
Card,Payment,2024-11-13 17:18:18,2024-11-13 21:18:18,Bus Ticket,-5322.00,0.00,INR,pending,49088
Cash,Refund,2024-11-02 19:03:18,2024-11-03 00:03:18,Train Ticket,+3405.00,0.00,INR,pending,40361
Card,Refund,2024-11-06 12:18:24,2024-11-06 17:18:24,Hotel Reservation,-1344.00,0.00,INR,completed,42422
Card,Payment,2024-09-13 00:41:12,2024-09-13 08:41:12,Hotel Reservation,-3792.00,0.00,INR,pending,46214
Card,Payment,2024-10-07 12:24:14,2024-10-08 00:24:14,Train Ticket,-4172.00,0.00,INR,pending,46594
Card,Payment,2024-09-18 00:07:10,2024-09-18 10:07:10,Flight Ticket,-1112.00,0.00,INR,completed,41310
Cash,Refund,2024-10-15 13:33:51,2024-10-15 16:33:51,Hotel Reservation,+680.00,0.00,INR,completed,41990
Card,Refund,2024-11-27 08:43:17,2024-11-27 14:43:17,Flight Ticket,-4443.00,0.00,INR,pending,46433
Cash,Payment,2024-09-06 16:06:12,2024-09-06 19:06:12,Train Ticket,+7926.00,0.00,INR,completed,49916
Cash,Booking,2024-11-03 23:00:51,2024-11-04 08:00:51,Hotel Reservation,+4030.00,0.00,INR,pending,45886
Card,Payment,2024-09-15 03:32:38,2024-09-15 04:32:38,Bus Ticket,-2423.00,0.00,INR,completed,47493
Card,Payment,2024-10-01 12:13:17,2024-10-01 13:13:17,Bus Ticket,-4303.00,0.00,INR,completed,43190
Cash,Payment,2024-11-11 18:35:54,2024-11-11 20:35:54,Train Ticket,+3128.00,0.00,INR,pending,40062
Cash,Payment,2024-11-14 18:02:25,2024-11-14 23:02:25,Hotel Reservation,+899.00,0.00,INR,pending,42291
Card,Booking,2024-09-06 16:16:21,2024-09-07 00:16:21,Tour Package,-1001.00,0.00,INR,completed,42189
Cash,Refund,2024-11-05 03:48:03,2024-11-05 04:48:03,Flight Ticket,+5596.00,0.00,INR,completed,47785
Cash,Refund,2024-11-20 00:27:00,2024-11-20 12:27:00,Bus Ticket,+7006.00,0.00,INR,completed,54791
Card,Refund,2024-11-11 15:32:05,2024-11-11 18:32:05,Bus Ticket,-6778.00,0.00,INR,pending,61569
Cash,Refund,2024-11-10 19:46:12,2024-11-10 20:46:12,Hotel Reservation,+5396.00,0.00,INR,pending,49395
Cash,Payment,2024-10-26 07:52:12,2024-10-26 18:52:12,Tour Package,+2491.00,0.00,INR,completed,57282
Card,Booking,2024-11-11 01:04:16,2024-11-11 09:04:16,Train Ticket,-4639.00,0.00,INR,completed,52643
Cash,Booking,2024-09-13 07:11:22,2024-09-13 14:11:22,Tour Package,+2157.00,0.00,INR,pending,50486
Card,Payment,2024-09-02 23:27:39,2024-09-03 10:27:39,Car Rental,-5515.00,0.00,INR,completed,47128
Card,Booking,2024-11-06 12:45:57,2024-11-06 21:45:57,Hotel Reservation,-6006.00,0.00,INR,completed,41122
Card,Refund,2024-10-05 15:58:13,2024-10-06 03:58:13,Car Rental,-7522.00,0.00,INR,pending,48644
Card,Payment,2024-10-10 11:49:56,2024-10-10 20:49:56,Train Ticket,-2417.00,0.00,INR,pending,43539
Card,Booking,2024-11-07 15:45:14,2024-11-07 21:45:14,Car Rental,-2707.00,0.00,INR,completed,38415
Card,Refund,2024-11-27 13:24:18,2024-11-27 17:24:18,Bus Ticket,-5851.00,0.00,INR,completed,32564
Card,Payment,2024-10-01 14:53:33,2024-10-01 16:53:33,Bus Ticket,-6662.00,0.00,INR,completed,25902
Card,Refund,2024-11-18 00:26:50,2024-11-18 12:26:50,Tour Package,-5508.00,0.00,INR,pending,31410
Cash,Payment,2024-10-04 03:04:06,2024-10-04 05:04:06,Car Rental,+6590.00,0.00,INR,pending,19312
Card,Payment,2024-10-20 01:35:02,2024-10-20 06:35:02,Tour Package,-6265.00,0.00,INR,completed,19637
Cash,Booking,2024-10-01 22:17:32,2024-10-02 07:17:32,Hotel Reservation,+7749.00,0.00,INR,completed,27386
Cash,Payment,2024-10-17 23:52:02,2024-10-18 01:52:02,Hotel Reservation,+6617.00,0.00,INR,completed,34003
Card,Payment,2024-09-12 10:54:27,2024-09-12 15:54:27,Hotel Reservation,-5715.00,0.00,INR,completed,28288
Card,Refund,2024-11-27 11:33:27,2024-11-27 13:33:27,Flight Ticket,-7665.00,0.00,INR,pending,35953
Cash,Payment,2024-10-08 03:39:40,2024-10-08 10:39:40,Hotel Reservation,+769.00,0.00,INR,completed,29057
Cash,Refund,2024-09-19 17:43:57,2024-09-20 00:43:57,Tour Package,+6259.00,0.00,INR,completed,35316
Card,Booking,2024-10-14 18:26:08,2024-10-15 06:26:08,Tour Package,-2940.00,0.00,INR,pending,38256
Cash,Booking,2024-11-01 06:12:52,2024-11-01 07:12:52,Flight Ticket,+4067.00,0.00,INR,completed,39383
Card,Refund,2024-09-30 06:18:51,2024-09-30 10:18:51,Car Rental,-3312.00,0.00,INR,pending,42695
Cash,Payment,2024-10-30 10:21:31,2024-10-30 19:21:31,Train Ticket,+2060.00,0.00,INR,completed,41443
Card,Refund,2024-09-24 05:38:37,2024-09-24 13:38:37,Car Rental,-6844.00,0.00,INR,completed,34599
Cash,Payment,2024-09-17 23:00:07,2024-09-18 01:00:07,Train Ticket,+7672.00,0.00,INR,completed,42271
Cash,Booking,2024-10-09 10:33:09,2024-10-09 14:33:09,Bus Ticket,+5225.00,0.00,INR,pending,37046
Cash,Payment,2024-09-09 09:59:41,2024-09-09 17:59:41,Train Ticket,+6151.00,0.00,INR,pending,36120
Cash,Refund,2024-10-21 16:16:13,2024-10-21 21:16:13,Tour Package,+5366.00,0.00,INR,completed,47637
Card,Payment,2024-09-16 11:12:57,2024-09-16 20:12:57,Tour Package,-5594.00,0.00,INR,completed,42043
Cash,Payment,2024-09-07 16:42:10,2024-09-08 04:42:10,Hotel Reservation,+3078.00,0.00,INR,completed,45121
Card,Refund,2024-10-01 21:51:33,2024-10-02 09:51:33,Hotel Reservation,-2263.00,0.00,INR,pending,47384
Card,Payment,2024-11-17 17:04:50,2024-11-18 02:04:50,Tour Package,-6961.00,0.00,INR,completed,38160
Card,Refund,2024-10-27 05:46:00,2024-10-27 09:46:00,Train Ticket,-3980.00,0.00,INR,pending,42140
Card,Booking,2024-10-30 01:10:01,2024-10-30 09:10:01,Flight Ticket,-951.00,0.00,INR,pending,39111
Cash,Refund,2024-09-07 02:47:09,2024-09-07 03:47:09,Train Ticket,+3340.00,0.00,INR,pending,34820
Cash,Refund,2024-09-15 09:13:24,2024-09-15 12:13:24,Car Rental,+7363.00,0.00,INR,completed,45523
Card,Refund,2024-10-16 20:51:24,2024-10-17 08:51:24,Train Ticket,-3986.00,0.00,INR,pending,49509
Cash,Payment,2024-11-02 17:30:37,2024-11-03 02:30:37,Hotel Reservation,+2265.00,0.00,INR,pending,43258
Cash,Payment,2024-09-17 16:21:04,2024-09-17 17:21:04,Train Ticket,+943.00,0.00,INR,pending,44580
Card,Payment,2024-10-02 22:39:41,2024-10-03 04:39:41,Train Ticket,-5931.00,0.00,INR,completed,39592
Card,Booking,2024-11-24 10:10:00,2024-11-24 12:10:00,Train Ticket,-1931.00,0.00,INR,completed,37661
Card,Refund,2024-10-12 12:22:57,2024-10-12 21:22:57,Train Ticket,-894.00,0.00,INR,pending,38555
Cash,Payment,2024-09-22 06:41:15,2024-09-22 08:41:15,Tour Package,+1320.00,0.00,INR,pending,36341
Card,Booking,2024-10-02 21:12:59,2024-10-03 09:12:59,Flight Ticket,-1783.00,0.00,INR,pending,39444
Card,Booking,2024-11-28 03:05:12,2024-11-28 07:05:12,Train Ticket,-3275.00,0.00,INR,completed,34386
Cash,Refund,2024-11-17 11:59:20,2024-11-17 22:59:20,Bus Ticket,+2861.00,0.00,INR,pending,31525
Card,Payment,2024-09-17 15:15:35,2024-09-18 03:15:35,Bus Ticket,-1387.00,0.00,INR,pending,35773
